crop,price,location,state,date,latitude,longitude,temperature,rainfall,soil_moisture,ndvi
Jowar,2800,Cuddapah,Andhra Pradesh,2022-01-15,15.9129,79.74,28.375000000000057,5.312971115112305,0.2788802981376648,0.62265
Jowar,2563,Cuddapah,Andhra Pradesh,2022-02-14,15.9129,79.74,33.37500000000006,0.0,0.2148106396198272,0.5412
Jowar,2300,Cuddapah,Andhra Pradesh,2022-03-15,15.9129,79.74,36.156666666666695,0.0,0.1833544969558715,0.4709
Jowar,2270,Cuddapah,Andhra Pradesh,2022-04-15,15.9129,79.74,38.07666666666671,2.569870710372925,0.1635274440050125,0.43505
Jowar,2388,Cuddapah,Andhra Pradesh,2022-05-15,15.9129,79.74,36.450000000000045,76.48690342903137,0.2036509662866592,0.46945
Jowar,2736,Cuddapah,Andhra Pradesh,2022-06-14,15.9129,79.74,41.06,157.71849620342255,0.2068682014942169,0.40765
Jowar,2880,Cuddapah,Andhra Pradesh,2022-07-14,15.9129,79.74,34.74333333333334,185.4597339630127,0.2643956840038299,0.48045
Jowar,3200,Cuddapah,Andhra Pradesh,2022-08-13,15.9129,79.74,35.34333333333336,156.07253289222717,0.3094992935657501,0.544
Jowar,3480,Cuddapah,Andhra Pradesh,2022-09-12,15.9129,79.74,37.420000000000016,163.77618217468262,0.2705185413360595,0.5445
Jowar,3725,Cuddapah,Andhra Pradesh,2022-10-12,15.9129,79.74,34.690000000000055,173.86631202697754,0.3655177056789398,0.5800000000000001
Jowar,3825,Cuddapah,Andhra Pradesh,2022-11-11,15.9129,79.74,31.225000000000023,38.50761651992798,0.3252089321613312,0.5940500000000001
Jowar,3880,Cuddapah,Andhra Pradesh,2022-12-11,15.9129,79.74,28.715000000000032,28.39921283721924,0.2998887598514557,0.6081500000000001
Jowar,3725,Cuddapah,Andhra Pradesh,2023-01-15,15.9129,79.74,29.650000000000038,0.0,0.2468435019254684,0.6193000000000001
Jowar,3975,Cuddapah,Andhra Pradesh,2023-02-14,15.9129,79.74,33.735000000000014,0.0,0.2147702425718307,0.49775
Jowar,3860,Cuddapah,Andhra Pradesh,2023-03-15,15.9129,79.74,35.33000000000004,37.12205576896668,0.2128148823976516,0.461
